label_text,label,comment_num,repost_num,like_num,CntWord,WordPerSentence,TitleLen,TitleCnt_Exclaimation,TitleCnt_Question,TextCnt_Exclaimation,TextCnt_Question
fake,1,4,2,30,113,113.0,0,0,0,0,0
fake,1,0,0,0,67,67.0,0,0,0,1,0
fake,1,3,2,4,111,111.0,27,0,0,0,0
fake,1,0,0,0,229,45.8,0,0,0,2,0
fake,1,16,2,9,115,38.3,0,0,0,0,0
fake,1,7,126,5070,83,83.0,0,0,0,1,0
fake,1,17,0,36,122,122.0,0,0,0,1,0
fake,1,6,1,6,129,43.0,0,0,0,1,1
fake,1,66,11,123,95,95.0,0,0,0,0,0
fake,1,185,103,758,713,47.5,0,0,0,4,0
fake,1,16,3,3,83,83.0,0,0,0,0,0
fake,1,55,2,46,59,59.0,0,0,0,0,0
fake,1,4,0,3,84,42.0,0,0,0,1,0
fake,1,145,10,384,127,63.5,4,0,0,0,0
fake,1,141,1487,10733,88,88.0,0,0,0,1,0
fake,1,0,1,15,88,22.0,0,0,0,1,0
fake,1,1,0,3,94,47.0,0,0,0,0,0
fake,1,14,6,10,333,333.0,14,0,0,1,0
fake,1,66,11,172,150,37.5,0,0,0,2,0
fake,1,9,1,17,357,357.0,0,0,0,1,0
fake,1,11,0,2,98,49.0,76,2,0,0,0
fake,1,111,61,347,54,54.0,0,0,0,0,0
fake,1,0,0,3,58,58.0,0,0,0,1,0
fake,1,2,9,54,75,75.0,0,0,0,1,0
fake,1,14,2,15,77,77.0,16,0,0,0,0
fake,1,0,0,1,186,31.0,0,0,0,0,0
fake,1,0,0,0,238,29.8,0,0,0,1,0
fake,1,41,2,209,211,42.2,6,0,0,0,0
fake,1,18,15,99,67,67.0,0,0,0,0,1
fake,1,0,0,1,328,328.0,0,0,0,1,0
fake,1,16,9,17,145,24.2,16,1,0,3,0
fake,1,3,0,1,200,40.0,0,0,0,3,0
fake,1,59,31,1283,48,48.0,0,0,0,0,0
fake,1,52,0,16,68,68.0,0,0,0,0,0
fake,1,1,0,2,38,38.0,0,0,0,0,0
fake,1,36,118,487,24,24.0,0,0,0,1,0
fake,1,0,0,0,219,43.8,0,0,0,3,0
fake,1,20,0,10,342,342.0,0,0,0,1,0
fake,1,22,4,135,28,28.0,0,0,0,0,0
fake,1,0,3,29,83,27.7,0,0,0,2,0
fake,1,8,2,27,95,47.5,0,0,0,0,0
fake,1,0,0,1,60,30.0,0,0,0,1,1
fake,1,106,76,312,135,33.8,0,0,0,1,0
fake,1,0,0,3,36,36.0,0,0,0,0,0
fake,1,2,1,1,317,52.8,0,0,0,0,0
fake,1,2,1,0,358,358.0,0,0,0,1,0
fake,1,2,1,1,170,85.0,0,0,0,0,0
fake,1,7,1,124,136,45.3,28,0,0,0,0
fake,1,0,0,5,38,12.7,0,0,0,0,1
fake,1,43,13,135,102,102.0,0,0,0,0,0
